3D Crossword Plugin,application/vnd.hzn-3d-crossword,.x3d,IANA: 3D Crossword Plugin,application,.x3d
3GP,video/3gpp,.3gp,Wikipedia: 3GP,video,.3gp
3GP2,video/3gpp2,.3g2,Wikipedia: 3G2,video,.3g2
3GPP MSEQ File,application/vnd.mseq,.mseq,IANA: 3GPP MSEQ File,application,.mseq
3M Post It Notes,application/vnd.3m.post-it-notes,.pwn,IANA: 3M Post It Notes,application,.pwn
3rd Generation Partnership Project - Pic Large,application/vnd.3gpp.pic-bw-large,.plb,3GPP,application,.plb
3rd Generation Partnership Project - Pic Small,application/vnd.3gpp.pic-bw-small,.psb,3GPP,application,.psb
3rd Generation Partnership Project - Pic Var,application/vnd.3gpp.pic-bw-var,.pvb,3GPP,application,.pvb
3rd Generation Partnership Project - Transaction Capabilities Application Part,application/vnd.3gpp2.tcap,.tcap,3GPP,application,.tcap
7-Zip,application/x-7z-compressed,.7z,Wikipedia: 7-Zip,application,.7z
AbiWord,application/x-abiword,.abw,Wikipedia: AbiWord,application,.abw
Ace Archive,application/x-ace-compressed,.ace,Wikipedia: ACE,application,.ace
Active Content Compression,application/vnd.americandynamics.acc,.acc,IANA: Active Content Compression,application,.acc
ACU Cobol,application/vnd.acucobol,.acu,IANA: ACU Cobol,application,.acu
ACU Cobol,application/vnd.acucorp,.atc,IANA: ACU Cobol,application,.atc
Adaptive differential pulse-code modulation,audio/adpcm,.adp,Wikipedia: ADPCM,audio,.adp
Adobe (Macropedia) Authorware - Binary File,application/x-authorware-bin,.aab,Wikipedia: Authorware,application,.aab
Adobe (Macropedia) Authorware - Map,application/x-authorware-map,.aam,Wikipedia: Authorware,application,.aam
Adobe (Macropedia) Authorware - Segment File,application/x-authorware-seg,.aas,Wikipedia: Authorware,application,.aas
Adobe AIR Application,application/vnd.adobe.air-application-installer-package+zip,.air,Building AIR Applications,application,.air
Adobe Flash,application/x-shockwave-flash,.swf,Wikipedia: Adobe Flash,application,.swf
Adobe Flex Project,application/vnd.adobe.fxp,.fxp,IANA: Adobe Flex Project,application,.fxp
Adobe Portable Document Format,application/pdf,.pdf,Adobe PDF,application,.pdf
Adobe PostScript Printer Description File Format,application/vnd.cups-ppd,.ppd,IANA: Cups,application,.ppd
Adobe Shockwave Player,application/x-director,.dir,Wikipedia: Adobe Shockwave Player,application,.dir
Adobe XML Data Package,application/vnd.adobe.xdp+xml,.xdp,Wikipedia: XML Data Package,application,.xdp
Adobe XML Forms Data Format,application/vnd.adobe.xfdf,.xfdf,Wikipedia: XML Portable Document Format,application,.xfdf
Advanced Audio Coding (AAC),audio/x-aac,.aac,Wikipedia: AAC,audio,.aac
Ahead AIR Application,application/vnd.ahead.space,.ahead,IANA: Ahead AIR Application,application,.ahead
AirZip FileSECURE,application/vnd.airzip.filesecure.azf,.azf,IANA: AirZip,application,.azf
AirZip FileSECURE,application/vnd.airzip.filesecure.azs,.azs,IANA: AirZip,application,.azs
Amazon Kindle eBook format,application/vnd.amazon.ebook,.azw,Kindle Direct Publishing,application,.azw
AmigaDE,application/vnd.amiga.ami,.ami,IANA: Amiga,application,.ami
Andrew Toolkit,application/andrew-inset,N/A,IANA - Andrew Inset,application,N/A
Android Package Archive,application/vnd.android.package-archive,.apk,Wikipedia: APK File Format,application,.apk
ANSER-WEB Terminal Client - Certificate Issue,application/vnd.anser-web-certificate-issue-initiation,.cii,IANA: ANSWER-WEB,application,.cii
